Resume,Similarity (%)
Business_Management.pdf_text.txt,79.01741862297058
Analyst.pdf_text.txt,77.774578332901
data-scientist-1559725114.pdf_text.txt,76.12147927284241
Bright_Kyeremeh_Data_Scientist.pdf_text.txt,71.34252190589905
UX Designer.pdf_text.txt,70.96717357635498
Web Developer.pdf_text.txt,65.83030819892883
Pantry.pdf_text.txt,62.87340521812439
NLP intern.pdf_text.txt,62.61664628982544
Mani_Resume.pdf_text.txt,62.434810400009155
customer_service.pdf_text.txt,61.876654624938965
Tarun_resume(cleaner).docx_text.txt,60.18751263618469
FullStack_Developer.pdf_text.txt,57.58594870567322
Designer.pdf_text.txt,55.61959147453308
Room_service.pdf_text.txt,55.231934785842896
android-developer-1559034496.pdf_text.txt,54.642170667648315
Restaurant CV.pdf_text.txt,54.11734580993652
IOS1.pdf_text.txt,50.82847476005554
Tarun_care.pdf.pdf_text.txt,50.662606954574585
